"","countrycode","sum_fv"
"1","ABW",0
"2","AFG",43956.8103489997
"3","AGO",25638.8763173819
"4","AIA",0
"5","ALA",0
"6","ALB",108505.226779938
"7","AND",32398.0742839351
"8","ANT",0
"9","ARE",575203.253753662
"10","ARG",704856.208553314
"11","ARM",79093.6684087515
"12","ASM",0
"13","ATA",0
"14","ATF",0
"15","ATG",0
"16","AUS",114745.342913747
"17","AUT",69873.3693421185
"18","AZE",106874.192857504
"19","BDI",1805305.88755512
"20","BEL",30724.4414996356
"21","BEN",160812.662224054
"22","BFA",13600.7934865654
"23","BGD",141195.751691818
"24","BGR",76162.6737105698
"25","BHR",115665.424880981
"26","BHS",0
"27","BIH",46588.7026138306
"28","BLM",0
"29","BLR",18457.9369610548
"30","BLZ",244827.109911203
"31","BMU",0
"32","BOL",52401.7177155018
"33","BRA",1731664.11134338
"34","BRB",0
"35","BRN",3799.30912590026
"36","BTN",92026.802433785
"37","BVT",0
"38","BWA",15327.8307148218
"39","CAF",36460.3174233437
"40","CAN",161424.845289052
"41","CCK",0
"42","CHE",46343.032463789
"43","CHL",47636.7339771986
"44","CHN",304162.057585542
"45","CIV",345068.764505982
"46","CMR",1139088.64549685
"47","COD",285085.307262182
"48","COG",75654.8605856895
"49","COK",0
"50","COL",298872.171770096
"51","COM",0
"52","CPV",0
"53","CRI",303397.378608704
"54","CUB",99162.9574165344
"55","CXR",0
"56","CYM",0
"57","CYP",1746.7011089325
"58","CZE",32537.5372314453
"59","DEU",88688.0314382911
"60","DJI",0
"61","DMA",0
"62","DNK",5194.39701271057
"63","DOM",54563.5881443024
"64","DZA",1063653.29709494
"65","ECU",356135.844967365
"66","EGY",439558.182981851
"67","ERI",4101.71971273422
"68","ESH",0
"69","ESP",129088.096032143
"70","EST",8127.46316099167
"71","ETH",11140.6130005419
"72","FIN",3615.16144371033
"73","FJI",0
"74","FLK",0
"75","FRA",168301.636161923
"76","FRO",0
"77","FSM",0
"78","GAB",133062.389850616
"79","GBR",6686.1003742218
"80","GEO",101350.982159141
"81","GGY",0
"82","GHA",394347.844140172
"83","GIB",0
"84","GIN",95665.9011354446
"85","GLP",0
"86","GMB",10675.7380752563
"87","GNB",77362.4497375488
"88","GNQ",238305.910533905
"89","GRC",104909.834617972
"90","GRD",0
"91","GRL",0
"92","GTM",75063.7301068306
"93","GUF",35741.0127909482
"94","GUM",0
"95","GUY",28261.8153165579
"96","HKG",50151.2816829085
"97","HMD",0
"98","HND",61524.4893493652
"99","HRV",71660.5647773743
"100","HTI",103099.549203873
"101","HUN",62802.078745842
"102","IDN",68615.4229354858
"103","IMN",0
"104","IND",1762955.73199276
"105","IOT",0
"106","IRL",1082.54025360942
"107","IRN",78911.2142750919
"108","IRQ",36461.7602897286
"109","ISL",0
"110","ISR",111965.742321491
"111","ITA",144190.989739846
"112","JAM",94444.7764253616
"113","JEY",0
"114","JOR",180802.805138588
"115","JPN",50684.0144863129
